Time,Tree,Shoot,Length,Width,Area,
EARLY,10,BC,195,39,47.8,
EARLY,10,BC,118,49,45.3,
EARLY,10,BC,183,35,44.5,
EARLY,10,BC,104,21,20.1,
EARLY,10,BC,154,50,59.1,
EARLY,10,BC,184,35,42.7,
EARLY,10,BC,134,32,28.6,
EARLY,10,BC,190,29,36.3,
EARLY,10,BC,170,44,54.3,
EARLY,10,BC,140,45,49.8,
EARLY,10,BC,101,18,13.5,
EARLY,10,BC,159,27,30.8,
EARLY,10,BC,145,38,37,
EARLY,10,BC,117,17,15.4,
EARLY,10,BC,141,26,26.4,
EARLY,10,BC,120,40,29.7,
EARLY,10,BC,195,35,47.2,
EARLY,10,BC,157,28,31.5,
EARLY,10,BC,135,21,21.1,
EARLY,10,BC,117,30,28.2,
EARLY,10,BC,150,27,29.6,
EARLY,10,BC,179,26,32.4,
EARLY,10,BC,192,38,46.7,
EARLY,5,BC,150,53,61,
EARLY,5,BC,224,55,84.6,
EARLY,5,BC,290,49,91.2,
EARLY,5,BC,189,55,82.3,
EARLY,5,BC,250,63,111.9,
EARLY,5,BC,170,53,69.2,
EARLY,5,BC,250,67,124.8,
EARLY,5,BC,145,48,56.7,
EARLY,5,BC,268,58,97.9,
EARLY,5,BC,165,56,72.3,
EARLY,5,BC,200,66,100.8,
EARLY,5,BC,240,54,95.2,
EARLY,5,BC,265,38,64.3,
EARLY,5,BC,320,46,91.2,
EARLY,5,BC,274,44,78,
EARLY,5,BC,198,55,87.9,
EARLY,5,BC,205,64,100.7,
EARLY,5,BC,227,54,85.9,
EARLY,5,BC,184,42,53.5,
EARLY,5,BC,213,59,93.7,
EARLY,5,BC,140,49,46.4,
EARLY,5,BC,130,47,49.5,
EARLY,5,BC,190,51,73.4,
EARLY,5,BC,255,38,58.9,
EARLY,5,BC,283,51,96.9,
EARLY,5,BC,179,53,76.1,
EARLY,9,SC,200,49,72.6,
EARLY,9,SC,54,9,7.9,
EARLY,9,SC,295,50,85.9,
EARLY,9,SC,239,47,88,
EARLY,9,SC,286,60,122.2,
EARLY,9,SC,208,66,103,
EARLY,9,SC,64,9,7.6,
EARLY,9,SC,105,39,28,
EARLY,9,SC,216,55,88.7,
EARLY,9,SC,245,46,80.9,
EARLY,9,SC,249,42,87.8,
EARLY,9,SC,149,47,56.4,
EARLY,9,SC,245,56,92.7,
EARLY,9,SC,235,50,70,
EARLY,9,SC,282,59,112.5,
EARLY,9,SC,280,53,107.2,
EARLY,9,SC,212,61,95,
EARLY,9,SC,336,48,105.4,
EARLY,9,SC,137,50,53.8,
EARLY,9,SC,238,47,79.4,
EARLY,9,SC,248,41,76.1,
EARLY,9,SC,76,14,8.7,
EARLY,9,SC,235,42,85.1,
EARLY,9,SC,230,43,75.2,
EARLY,9,SC,220,44,75,
EARLY,9,SC,237,52,88,
EARLY,9,SC,289,57,106.7,
EARLY,9,SC,267,52,91.1,
EARLY,9,SC,230,41,72.7,
EARLY,9,SC,327,42,100.4,
EARLY,9,SC,300,49,108.6,
EARLY,9,SC,305,53,106.2,
EARLY,9,SC,55,12,5.3,
EARLY,9,SC,205,55,86.4,
EARLY,9,SC,265,42,72.7,
EARLY,9,SC,178,38,43.7,
EARLY,9,SC,180,40,38.7,
EARLY,9,SC,282,54,106.5,
EARLY,9,SC,135,43,47.3,
EARLY,9,SC,230,34,55.1,
EARLY,9,SC,235,27,45.2,
EARLY,9,SC,150,31,26.8,
EARLY,9,SC,197,38,56.7,
EARLY,9,SC,128,49,44.4,
EARLY,9,SC,108,21,17.4,
EARLY,9,SC,96,15,11.6,
EARLY,9,SC,100,19,13,
EARLY,9,SC,70,12,9.5,
EARLY,9,SC,85,14,8.1,
EARLY,9,SC,230,31,57.1,
EARLY,9,SC,222,32,53.6,
EARLY,9,SC,241,44,71.2,
EARLY,9,SC,230,42,87.9,
EARLY,9,SC,327,56,146.6,
EARLY,9,SC,154,23,23.3,
EARLY,9,SC,128,39,23.5,
EARLY,9,SC,87,45,28.5,
EARLY,9,SC,220,27,45.3,
EARLY,9,SC,300,56,129.6,
EARLY,9,SC,258,38,77.5,
EARLY,9,SC,93,45,30,
EARLY,9,SC,220,44,76,
EARLY,9,SC,90,48,31.7,
EARLY,9,SC,270,40,84,
EARLY,9,SC,95,39,27.9,
EARLY,9,SC,120,18,14.9,
EARLY,9,SC,104,9,11,
EARLY,9,SC,180,32,36.8,
EARLY,9,SC,205,41,52.8,
EARLY,9,SC,150,21,24.3,
EARLY,9,SC,212,41,65.2,
EARLY,9,SC,216,32,44.3,
EARLY,9,SC,220,52,72.7,
EARLY,9,SC,180,35,44.3,
EARLY,9,SC,258,40,73.9,
EARLY,9,SC,135,41,47.8,
EARLY,9,SC,245,34,58.3,
EARLY,9,SC,158,35,40,
EARLY,9,SC,122,17,13,
EARLY,9,SC,120,14,10.9,
EARLY,9,SC,235,41,69,
EARLY,9,SC,137,40,43.6,
EARLY,9,SC,123,24,19.7,
EARLY,9,SC,125,24,20.6,
EARLY,9,SC,100,21,15.3,
EARLY,9,SC,125,14,15.2,
EARLY,9,SC,92,20,9.6,
EARLY,9,SC,60,20,9.5,
EARLY,9,SC,113,17,13.4,
EARLY,9,SC,135,15,13.3,
EARLY,9,SC,103,21,8.1,
EARLY,9,SC,80,12,6.5,
EARLY,9,SC,105,13,8.1,
EARLY,9,BC,296,37,85.8,
EARLY,9,BC,290,41,86.4,
EARLY,9,BC,240,38,68.4,
EARLY,9,BC,234,41,67.1,
EARLY,9,BC,243,40,69.7,
EARLY,9,BC,225,37,62.3,
EARLY,9,BC,263,42,78.2,
EARLY,9,BC,230,43,75,
EARLY,9,BC,230,29,51.6,
EARLY,9,BC,215,26,43.6,
EARLY,9,BC,222,37,62.7,
EARLY,9,BC,147,22,24.1,
EARLY,9,BC,217,30,49.1,
EARLY,9,BC,180,32,47.7,
EARLY,9,BC,294,45,89.6,
EARLY,9,BC,245,31,57.9,
EARLY,9,BC,232,31,65.3,
EARLY,9,BC,195,31,47.6,
EARLY,9,BC,250,31,58.6,
EARLY,9,BC,263,38,66.5,
EARLY,9,BC,215,30,50.8,
EARLY,9,BC,200,28,42.4,
EARLY,9,BC,230,32,56.7,
EARLY,9,BC,185,30,40,
EARLY,9,BC,75,21,16.7,
EARLY,9,BC,72,10,5.1,
EARLY,9,BC,95,13,9.3,
EARLY,9,BC,125,17,17.1,
EARLY,9,BC,140,12,9.8,
EARLY,9,BC,63,8,3.8,
EARLY,9,BC,73,8,4.5,
EARLY,9,BC,62,8,4,
EARLY,9,BC,76,10,5.7,
EARLY,9,BC,70,10,5,
EARLY,9,BC,60,10,4.5,
EARLY,18,TR,130,24,24,
EARLY,18,TR,290,36,66.4,
EARLY,18,TR,240,37,62.7,
EARLY,18,TR,270,41,52.1,
EARLY,18,TR,170,44,60.4,
EARLY,18,TR,225,40,67.1,
EARLY,18,TR,234,52,89.8,
EARLY,18,TR,347,45,84.8,
EARLY,18,TR,242,49,85.3,
EARLY,18,TR,270,42,69.5,
EARLY,18,TR,272,48,89.6,
EARLY,18,TR,260,36,68.8,
EARLY,18,TR,210,31,48.5,
EARLY,18,TR,290,38,68.7,
EARLY,18,TR,124,38,31.5,
EARLY,17,SC,170,35,43.8,
EARLY,17,SC,270,55,106.2,
EARLY,17,SC,280,50,101.1,
EARLY,17,SC,175,41,50.8,
EARLY,17,SC,143,42,43.1,
EARLY,17,SC,160,52,58.7,
EARLY,17,SC,240,41,80.7,
EARLY,17,SC,305,60,123.4,
EARLY,17,SC,268,55,104,
EARLY,17,SC,250,50,92.8,
EARLY,17,SC,235,39,65.7,
EARLY,17,SC,178,30,38.3,
EARLY,17,SC,238,34,58.1,
EARLY,17,SC,250,40,74.1,
EARLY,17,SC,170,33,45.8,
EARLY,17,SC,140,29,32.2,
EARLY,17,SC,124,41,37.3,
EARLY,3,TR,263,46,87,
EARLY,3,TR,163,44,53,
EARLY,3,TR,227,49,85.6,
EARLY,3,TR,255,46,82.4,
EARLY,3,TR,274,45,91.2,
EARLY,3,TR,230,40,75.3,
EARLY,3,TR,202,40,66.1,
EARLY,3,TR,82,12,10.4,
EARLY,3,TR,81,14,8.5,
EARLY,13,TR,270,48,92.2,
EARLY,13,TR,285,48,102,
EARLY,13,TR,250,50,92.4,
EARLY,13,TR,246,48,90.1,
EARLY,13,TR,221,45,78.5,
EARLY,13,TR,225,40,70.7,
EARLY,13,TR,110,23,19.6,
EARLY,13,TR,228,43,71.7,
EARLY,13,TR,242,43,75.7,
EARLY,13,TR,202,37,56.6,
EARLY,13,TR,235,41,75.9,
EARLY,13,TR,181,35,47.6,
EARLY,13,TR,209,41,64.7,
EARLY,13,TR,200,36,53.4,
EARLY,13,TR,205,36,56.3,
EARLY,13,TR,227,41,70.1,
EARLY,13,TR,225,45,81.8,
EARLY,13,TR,222,40,70.1,
EARLY,13,TR,230,39,64.2,
EARLY,13,TR,171,33,40.9,
EARLY,13,TR,217,43,75.9,
EARLY,13,TR,236,40,66.9,
EARLY,13,TR,100,19,14.8,
EARLY,13,TR,130,29,29.1,
EARLY,13,TR,73,13,7.4,
EARLY,13,TR,120,20,18.2,
EARLY,8,SC,212,31,44.3,
EARLY,8,SC,215,37,53.9,
EARLY,8,SC,167,27,35.2,
EARLY,8,SC,172,31,41.8,
EARLY,8,SC,185,33,43,
EARLY,8,SC,195,36,52.9,
EARLY,8,SC,185,31,42.2,
EARLY,8,SC,167,33,41.9,
EARLY,8,SC,190,38,54.8,
EARLY,8,SC,197,31,43.9,
EARLY,8,SC,245,40,65.9,
EARLY,8,SC,230,38,59.5,
EARLY,8,SC,220,43,69.5,
